9/9/2021 20:37,9.62209E+33,UNFOLLOW,8/23 Spring,,,adidas Yeezy Slide Glow Green,,
9/14/2021 19:40,9.62209E+33,kris,2/2 Windsor,,,,,
9/14/2021 20:02,9.62208E+33,unfollow,2/2 Windsor,,,Jordan 1 Retro High OG Pollen (GS),,
9/14/2021 20:02,9.62208E+33,unfollow,2/2 Windsor,,,Jordan 1 Retro High OG Pollen (GS),,
9/14/2021 20:02,9.62208E+33,unfollow,2/2 Windsor,,,Jordan 1 Retro High OG Pollen (GS),,
9/14/2021 20:10,9.62209E+33,liang,2/2 Windsor,,,,,
9/14/2021 20:11,9.62209E+33,qggnb,2/2 Windsor,,domestic or StockX,,,
9/14/2021 20:19,9.62209E+33,unfollow,2/2 Windsor,,,adidas Yeezy Slide Glow Green,,
9/14/2021 20:24,9.62209E+33,bug,2/2 Windsor,,,,,
9/15/2021 19:42,9.6128E+21,unfollow,2/2 Windsor,,,Yeezy Slide Soot,,
9/15/2021 19:42,9.62208E+33,unfollow,2/2 Windsor,,,Jordan 1 Retro High OG Pollen (GS),,
9/15/2021 19:42,9.62208E+33,unfollow,2/2 Windsor,,,Jordan 1 Retro High OG Pollen (GS),,
9/15/2021 20:04,9.62208E+33,unfollow,2/2 Windsor,,,Jordan 1 Retro High OG Pollen (GS),,
9/15/2021 20:05,1Z577140YW07412459,unfollow,2/2 Windsor,,,Jordan 1 Retro High Pollen,,
9/16/2021 17:58,9.63208E+33,liang,2/2 Windsor,,domestic or StockX,,,
9/16/2021 18:18,1Z577140YW07414573,unfollow,8/23 Spring,,,Jordan 1 Retro High Pollen,,
9/16/2021 18:32,1Z577140YW07465750,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021),,
9/16/2021 18:32,1Z577140YW07466339,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021),,
9/16/2021 18:32,1Z577140YW07465349,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021),,
9/16/2021 18:32,1Z577140YW07476766,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021),,
9/16/2021 18:32,9.62209E+33,unfollow,2/2 Windsor,,,Yeezy Slide Soot,,
9/16/2021 18:32,1Z577140YW07474142,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021),,
9/17/2021 20:04,9.62209E+33,unfollow,9/2101 Mindy,,,adidas Yeezy Slide Glow Green,,
9/17/2021 20:04,1Z577140YW07415689,unfollow,2/2 Windsor,,,Jordan 1 Retro High Pollen,,
9/17/2021 20:04,1Z577140YW07411469,unfollow,2/2 Windsor,,,Jordan 1 Retro High Pollen,,
9/17/2021 20:04,1Z577140YW07414386,unfollow,2/2 Windsor,,,Jordan 1 Retro High Pollen,,
9/17/2021 20:04,1Z577140YW07412931,unfollow,2/2 Windsor,,,Jordan 1 Retro High Pollen,,
9/20/2021 10:39,9.62209E+33,Bug,5/19 Mt Run,,,,,
9/20/2021 10:39,9.62209E+33,Bug,5/19 Mt Run,,,,,
9/20/2021 10:55,1Z17867F0399934413,unfollow,2/2 Windsor,,,NIKE X UNDEFEATED AIR FORCE 1 LOW SP - COURTBLUE/ WHITE/ GOLD,,
9/20/2021 10:55,1Z17867F0395369685,unfollow,2/2 Windsor,,,NIKE X UNDEFEATED AIR FORCE 1 LOW SP - COURTBLUE/ WHITE/ GOLD,,
9/20/2021 10:55,9.62208E+33,unfollow,2/2 Windsor,,,Jordan 1 Low Wolf Grey (W),,
9/20/2021 10:57,9.62209E+33,unfollow,5/19 Mt Run,,,adidas Yeezy Slide Glow Green,,
9/20/2021 10:57,9.62208E+33,unfollow,2/2 Windsor,,,Jordan 1 Low Wolf Grey (W),,
9/20/2021 12:02,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/20/2021 12:04,9.62209E+33,MIKI,2/2 Windsor,,,,,
9/20/2021 12:04,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/20/2021 13:08,9.62209E+33,KRIS,5/19 Mt Run,,domestic or StockX,,,
9/20/2021 13:08,9.62209E+33,KRIS,5/19 Mt Run,,,,,
9/25/2021 10:57,9.62209E+33,Unfollow,2/2 Windsor,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 10:57,9.6128E+21,Unfollow,2/2 Windsor,,,Jordan 4 Retro Shimmer (W),,
9/25/2021 10:57,9.6128E+21,Unfollow,2/2 Windsor,,,Jordan 4 Retro Shimmer (W),,
9/25/2021 10:57,1Z17867F0398415735,Unfollow,2/2 Windsor,,,NIKE X UNDEFEATED AIR FORCE 1 LOW SP - COURTBLUE/ WHITE/ GOLD,,
9/25/2021 11:22,9.6128E+21,Unfollow,2/2 Windsor,,,Jordan 4 Retro Shimmer (W),,
9/25/2021 12:15,9.62209E+33,Unfollow,2/2 Windsor,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 12:15,9.62209E+33,Unfollow,2/2 Windsor,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 12:28,9.62209E+33,Unfollow,2/2 Windsor,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 12:28,9.62209E+33,Unfollow,2/2 Windsor,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 12:28,9.62209E+33,Unfollow,2/2 Windsor,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 12:49,9.62209E+33,Unfollow,8/23 Spring,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 12:49,9.62209E+33,Unfollow,2/2 Windsor,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 12:49,9.62209E+33,Unfollow,2/2 Windsor,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 13:28,9.62209E+33,Unfollow,8/23 Spring,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 13:40,9.62209E+33,Unfollow,5/19 Mt Run,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 13:45,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/25/2021 13:47,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/25/2021 14:14,9.62209E+33,Unfollow,5/19 Mt Run,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 14:14,9.62209E+33,Unfollow,9/2101 Mindy,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 14:36,9.62209E+33,Unfollow,5/19 Mt Run,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 14:36,9.62209E+33,kris,5/19 Mt Run,,domestic or StockX,,,
9/25/2021 14:40,9.62209E+33,HQCH,9/2101 Mindy,,,,,
9/25/2021 14:42,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/25/2021 15:10,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/25/2021 15:10,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/25/2021 15:10,9.62209E+33,Unfollow,5/19 Mt Run,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 15:10,9.62209E+33,Unfollow,9/2101 Mindy,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 15:10,9.63208E+33,Unfollow,5/19 Mt Run,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 15:10,9.62209E+33,Unfollow,9/2101 Mindy,,,adidas Yeezy Foam RNNR Ochre,,
9/25/2021 15:24,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/25/2021 15:24,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/29/2021 20:08,9.6128E+21,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021) (GS),,
9/29/2021 20:08,9.6128E+21,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021) (GS),,
9/29/2021 20:08,9.6128E+21,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021) (GS),,
9/29/2021 20:08,9.62209E+33,unfollow,9/2101 Mindy,,,adidas Yeezy Foam RNNR Ochre,,
9/29/2021 20:08,9.63208E+33,unfollow,9/2101 Mindy,,,adidas Yeezy Foam RNNR Ochre,,
9/29/2021 20:09,9.62209E+33,HQCH,9/2101 Mindy,,,,,
9/29/2021 20:34,9.6128E+21,Unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021) (GS),,
9/29/2021 20:38,9.6128E+21,CXKKK,6/1802 Yosko,,,,,
